S.No,Load (kg),IP (bar),Fuel blend,BTE (%),BSFC (kg/kWh),CO (%),HC (ppm),NOx (ppm),,,,,,,
1,3,500,D100,11.5,0.623,0.143,52,924,,,,,,,
2,3,500,B20,13.8,0.665,0.131,51,997,,,,,IP,,
3,3,500,B20DGM10,14.67,0.597,0.114,45,815,,,,2000 RPM,500,550,600
4,3,500,B20DGM10+GNP30,15.87,0.532,0.092,43,706,,,D100,,"3,6,9","3,6,9","3,6,9"
5,3,500,B20DGM10+GNP60,17.53,0.503,0.081,36,642,,,B20,,,,
6,3,500,B20DGM10+GNP90,16.87,0.512,0.085,38,653,,,B20DGM10,,,,
7,3,550,D100,12.45,0.543,0.131,46,868,,,B20DGM10+GNP30,,,,
8,3,550,B20,14.32,0.576,0.123,45,901,,,B20DGM10+GNP60,,,,
9,3,550,B20DGM10,15.87,0.543,0.122,43,824,,,B20DGM10+GNP90,,,,
10,3,550,B20DGM10+GNP30,16.12,0.502,0.091,37,771,,,,,,,
11,3,550,B20DGM10+GNP60,17.68,0.453,0.756,34,526,,,,,,,
12,3,550,B20DGM10+GNP90,16.67,0.462,0.834,35,534,,,,,,,
13,3,600,D100,13.63,0.523,0.112,42,746,,,,,,,
14,3,600,B20,14.76,0.536,0.1101,41,778,,,,,,,
15,3,600,B20DGM10,15.92,0.532,0.1092,38,648,,,,,,,
16,3,600,B20DGM10+GNP30,16.21,0.492,0.088,35,765,,,,,,,
17,3,600,B20DGM10+GNP60,17.97,0.441,0.734,32,512,,,,,,,
18,3,600,B20DGM10+GNP90,17.65,0.462,0.754,34,523,,,,,,,
19,6,500,D100,16.23,0.532,0.151,50,954,,,,,,,
20,6,500,B20,17.12,0.552,0.148,48,987,,,,,,,
21,6,500,B20DGM10,17.89,0.512,0.137,46,965,,,,,,,
22,6,500,B20DGM10+GNP30,18.12,0.478,0.124,44,836,,,,,,,
23,6,500,B20DGM10+GNP60,19.43,0.452,0.104,41,717,,,,,,,
24,6,500,B20DGM10+GNP90,19.23,0.463,0.112,42,765,,,,,,,
25,6,550,D100,19.46,0.443,0.142,48,961,,,,,,,
26,6,550,B20,20.13,0.482,0.136,47,987,,,,,,,
27,6,550,B20DGM10,20.34,0.461,0.127,46,945,,,,,,,
28,6,550,B20DGM10+GNP30,21.56,0.447,0.121,44,911,,,,,,,
29,6,550,B20DGM10+GNP60,24.45,0.412,0.118,42,861,,,,,,,
30,6,550,B20DGM10+GNP90,23.36,0.425,0.202,43,887,,,,,,,
31,6,600,D100,22.32,0.421,0.101,41,872,,,,,,,
32,6,600,B20,22.02,0.451,0.11,40,893,,,,,,,
33,6,600,B20DGM10,22.67,0.432,0.094,38,845,,,,,,,
34,6,600,B20DGM10+GNP30,23.67,0.412,0.861,37,834,,,,,,,
35,6,600,B20DGM10+GNP60,24.87,0.401,0.727,34,704,,,,,,,
36,6,600,B20DGM10+GNP90,24.23,0.412,0.193,35,720,,,,,,,
37,9,500,D100,25.67,0.397,0.132,48,927,,,,,,,
38,9,500,B20,24.98,0.402,0.139,50,936,,,,,,,
39,9,500,B20DGM10,25.72,0.368,0.128,44,917,,,,,,,
